dict_size: 17809
#############################
maximum sentence length: 55
minimum sentence length: 1
length	frequency
53	1
54	1
55	1
52	3
50	5
51	6
49	11
47	16
48	17
46	20
45	31
44	45
43	52
42	53
41	80
40	91
39	100
38	150
37	158
36	190
35	248
34	293
33	370
32	442
31	478
30	535
29	608
28	746
27	842
26	965
25	1086
24	1260
23	1413
22	1596
21	1712
20	1920
19	2174
18	2514
17	2739
16	3029
15	3458
14	3913
13	4336
12	4935
11	5515
10	6420
9	7346
8	8675
7	10363
6	12504
5	15346
4	19856
1	26615
3	29575
2	37496
#############################
words	frequency
the	71162
a	62016
,	58124
of	44659
and	44234
to	31499
.	27701
it	26527
's	23541
in	19291
is	18769
that	16858
with	10722
film	10547
for	10264
movie	9886
an	8927
this	8206
but	7127
be	6907
you	6639
on	6547
more	5574
by	5572
n't	5556
his	5435
one	5121
about	5034
not	5000
than	4968
at	4934
from	4782
or	4727
--	4666
like	4475
all	4373
are	4366
have	4335
ha	4130
character	4028
'	3867
story	3856
so	3666
make	3592
who	3384
time	3351
-rrb-	3348
most	3128
out	3127
too	3067
into	3020
good	2914
-lrb-	2853
up	2840
comedy	2778
much	2763
what	2698
if	2677
their	2591
way	2577
no	2565
life	2564
just	2534
can	2473
some	2473
even	2423
i	2421
doe	2304
''	2298
your	2297
little	2261
work	2212
performance	2185
will	2176
been	2043
only	2002
funny	1978
very	1971
he	1936
get	1925
any	1913
do	1892
enough	1872
u	1853
her	1824
love	1794
there	1776
director	1748
new	1739
which	1739
they	1729
wa	1721
bad	1713
feel	1690
thing	1666
them	1661
own	1655
when	1638
audience	1632
look	1595
something	1577
best	1571
we	1556
people	1526
other	1525
through	1522
two	1513
never	1510
take	1494
see	1463
would	1437
many	1435
year	1416
could	1412
come	1403
action	1391
how	1386
well	1384
world	1363
plot	1361
made	1357
may	1329
being	1324
long	1251
those	1241
every	1232
off	1225
really	1221
drama	1217
go	1213
better	1212
great	1187
're	1184
actor	1177
minute	1176
humor	1171
sense	1166
should	1161
give	1149
big	1149
another	1145
picture	1141
fun	1139
over	1126
few	1123
moment	1119
cast	1113
scene	1104
end	1102
first	1101
without	1096
both	1094
still	1087
american	1078
real	1071
kind	1064
such	1057
screen	1054
human	1047
while	1044
-	1039
woman	1038
man	1030
nothing	1029
le	1017
between	1015
hollywood	1015
ever	1011
family	1001
heart	991
script	987
far	985
might	977
